タイムスタンプ,アッシュ,アッシュ,テルミット,テルミット,サッチャー,サッチャー,スレッジ,スレッジ,モンターニュ,モンターニュ,トゥイッチ,トゥイッチ,ブリッツ,ブリッツ,IQ,IQ,フューズ,フューズ,グラズ,グラズ,バック,バック,ブラックビアード,ブラックビアード,カピタオ,カピタオ,ヒバナ,ヒバナ,ミュート,ミュート,スモーク,スモーク,キャッスル,キャッスル,パルス,パルス,ドク,ドク,ルーク,ルーク,バンディット,バンディット,イェーガー,イェーガー,タチャンカ,タチャンカ,カプカン,カプカン,フロスト,フロスト,ヴァルキリー,ヴァルキリー,カヴェイラ,カヴェイラ,エコー,エコー,このアンケートはどうでしたか。,Year 2 もシージをやりますか。,なにか意見があればどうぞ。
1/20/2017 1:17:21,3,4,7,9,10,6,4,3,2,2,3,3,2,2,4,3,10,10,7,6,7,4,3,1,8,7,8,8,10,10,4,4,6,4,4,3,4,7,5,5,6,6,7,7,10,1,7,4,4,3,7,4,6,3,6,2,2,たまにやる,
1/20/2017 14:10:30,3,3,8,8,10,6,3,3,1,4,2,3,2,4,5,2,10,10,8,7,9,6,3,1,8,7,8,9,10,10,4,2,7,3,4,4,5,5,7,6,7,7,8,7,10,1,7,6,3,4,4,6,7,4,8,4,2,たまにやる,
1/20/2017 14:17:24,6,9,8,8,5,2,6,7,9,8,8,6,8,2,5,4,3,5,7,8,9,9,6,2,6,8,9,9,2,2,8,6,4,6,3,5,3,7,4,8,8,8,10,10,10,1,2,2,8,8,9,9,9,6,3,2,2,当然やる,
1/20/2017 18:48:26,8,10,10,10,8,8,10,10,10,3,7,7,6,4,7,5,4,8,10,9,10,10,5,7,10,10,10,10,5,7,10,10,2,4,7,8,10,10,9,10,10,10,10,10,10,1,5,8,10,4,10,10,3,10,10,10,2,当然やる,
1/21/2017 14:03:59,10,5,10,10,6,8,1,1,5,7,6,5,7,3,3,3,3,8,4,5,1,5,4,6,5,4,10,6,6,8,4,6,3,4,1,10,7,4,4,8,8,8,5,4,10,1,6,1,8,8,10,10,7,6,4,5,1,当然やる,
1/21/2017 14:11:26,8,8,6,7,6,5,9,9,7,9,7,7,5,6,7,6,7,8,9,9,7,6,10,10,7,6,8,7,6,5,8,8,6,6,10,10,7,7,7,7,8,7,9,9,10,10,8,6,8,8,7,6,7,6,8,8,2,当然やる,顎髭最強
1/21/2017 14:11:59,10,10,10,10,5,5,10,10,6,1,10,10,7,5,5,8,10,10,6,10,10,10,1,1,5,5,7,4,2,2,7,7,1,5,10,10,4,6,10,10,10,10,10,10,1,1,6,6,9,6,10,10,10,10,3,1,2,当然やる,
1/21/2017 14:15:48,10,10,10,10,10,10,10,10,5,3,2,1,6,4,8,7,1,4,1,1,10,10,10,5,10,7,10,10,10,6,7,7,6,6,6,6,4,3,10,5,10,10,10,10,10,1,2,1,10,10,10,10,1,6,10,5,2,当然やる,
1/21/2017 14:21:28,8,5,2,5,2,9,8,8,3,9,8,4,1,1,8,9,3,9,6,5,5,7,2,1,9,7,10,10,4,8,7,9,3,3,4,7,4,7,9,6,9,7,10,10,10,3,8,7,8,6,6,9,4,6,9,3,2,当然やる,
1/21/2017 14:21:48,8,9,6,8,4,5,9,9,3,5,9,6,3,2,5,4,7,8,2,2,3,3,2,5,6,3,9,7,9,10,10,10,3,3,2,5,7,6,10,10,10,9,10,10,10,4,2,5,8,10,8,9,1,10,3,4,2,当然やる,
1/21/2017 14:23:37,8,10,7,8,8,7,6,4,9,3,6,6,2,1,6,6,10,10,6,4,6,8,1,1,6,6,8,9,6,5,6,7,5,5,3,7,6,6,9,6,9,8,10,10,10,1,10,10,4,4,6,6,6,4,4,8,2,当然やる,
1/21/2017 14:25:04,7,7,9,4,10,8,10,10,1,7,1,1,1,9,9,9,7,6,8,9,8,3,10,10,1,1,7,7,10,1,10,10,5,5,5,8,7,2,1,1,7,9,10,10,10,1,7,9,9,10,8,8,1,1,1,1,2,当然やる,
1/21/2017 14:28:24,10,8,10,10,10,10,8,10,1,10,1,10,7,6,10,10,1,10,1,10,3,10,1,1,1,7,10,10,7,10,7,4,7,4,1,6,10,10,10,10,10,10,10,10,5,9,10,6,1,10,6,8,1,7,8,6,2,当然やる,
1/21/2017 14:31:42,10,10,3,8,4,7,9,9,8,8,2,6,1,1,3,3,4,5,7,6,8,8,7,4,6,8,6,8,9,9,10,10,9,7,10,9,7,6,5,7,8,9,10,10,10,3,7,7,6,8,9,9,5,6,7,7,2,当然やる,
1/21/2017 14:38:08,7,10,7,7,5,6,6,5,1,10,10,7,1,7,7,3,6,8,4,3,4,7,5,5,10,9,7,9,8,8,7,8,9,7,5,8,9,8,7,8,10,9,6,10,4,3,1,4,7,5,7,7,8,5,2,5,2,もうやらないかも,
1/21/2017 14:38:24,7,9,10,10,10,10,8,7,10,5,7,7,4,3,10,1,1,10,1,7,5,6,9,6,9,9,10,10,8,7,4,9,1,1,1,8,10,10,10,10,10,8,9,9,10,1,10,8,8,8,8,10,2,10,10,2,2,当然やる,
1/21/2017 14:44:15,10,10,1,7,5,4,7,5,3,5,9,9,6,3,1,4,1,7,3,2,2,4,2,5,7,5,10,10,10,7,5,9,3,2,3,2,1,1,1,1,10,9,10,10,10,1,4,3,3,2,7,9,1,2,2,1,1,当然やる,
1/21/2017 14:46:53,7,9,6,6,5,4,7,7,8,8,7,8,6,6,7,5,7,9,6,6,8,8,5,3,8,6,8,8,9,7,6,6,7,5,5,5,6,6,10,10,10,10,7,8,5,4,5,5,7,8,9,10,7,10,9,9,2,当然やる,
1/21/2017 15:05:22,7,8,5,7,8,9,9,9,10,4,4,7,4,4,8,8,5,9,5,9,5,6,4,8,5,7,7,9,5,8,8,7,6,4,3,8,7,7,9,7,8,9,9,9,10,3,9,8,10,8,4,9,1,9,5,7,2,当然やる,
1/21/2017 15:17:31,10,10,5,7,6,5,5,5,7,7,8,8,5,5,9,9,6,6,5,5,8,8,8,8,9,9,5,5,6,6,8,8,5,5,5,5,6,6,7,7,8,6,10,10,10,5,6,6,6,6,8,8,5,5,5,5,2,当然やる,突然引用RTであんなこと言ってすいません！
1/21/2017 15:26:27,10,10,10,10,6,6,7,8,4,7,1,9,4,9,10,10,7,8,5,5,7,9,10,10,5,8,7,8,8,7,10,10,7,5,6,10,10,10,10,10,10,10,10,10,10,1,5,5,6,7,10,10,10,10,5,6,2,当然やる,
1/21/2017 15:27:56,10,10,5,7,5,7,6,6,7,5,8,7,9,9,10,8,7,8,10,6,10,10,7,5,8,7,10,9,5,9,6,7,4,2,6,4,6,6,7,9,9,9,10,9,8,7,8,8,9,10,10,10,10,10,1,1,2,当然やる,
1/21/2017 15:45:52,8,8,6,6,6,8,6,7,10,8,4,5,6,4,5,4,8,10,7,6,8,4,4,3,7,7,10,10,4,8,5,5,3,6,10,8,6,6,4,6,5,9,10,7,10,4,7,6,8,7,10,10,10,10,8,7,2,当然やる,
1/21/2017 16:03:30,6,8,9,8,8,8,7,7,7,8,6,6,7,4,7,4,7,7,5,5,6,6,6,5,7,9,10,10,7,8,6,8,6,6,1,6,6,7,10,10,7,7,8,9,10,1,6,5,7,6,7,9,1,6,5,5,2,当然やる,
1/21/2017 16:09:22,8,8,8,10,9,10,6,7,10,10,5,8,3,1,10,1,6,6,5,5,8,8,8,1,5,9,10,10,10,8,8,7,10,6,4,6,8,2,10,10,10,10,10,10,10,1,6,1,10,8,10,9,5,5,8,3,2,当然やる,
1/21/2017 16:16:48,10,10,5,6,3,3,5,6,3,3,5,5,2,2,3,3,6,7,4,5,7,6,5,3,5,5,3,7,8,6,3,6,1,2,2,2,7,5,8,8,6,6,10,10,5,1,4,4,7,5,5,5,8,6,4,4,2,当然やる,
1/21/2017 17:30:30,8,10,10,10,6,8,9,9,10,7,6,8,9,6,7,6,8,9,8,7,8,8,8,7,8,9,8,9,9,9,8,8,7,7,6,7,6,6,7,7,8,9,9,10,6,5,7,7,8,8,9,10,7,6,7,7,2,当然やる,
1/21/2017 18:01:54,9,10,8,9,7,10,7,8,6,8,8,6,9,9,1,1,7,10,7,5,8,6,8,6,7,6,10,9,7,7,7,6,4,1,5,8,7,8,7,8,8,9,10,10,10,10,9,4,7,4,9,9,7,8,8,8,2,当然やる,
1/21/2017 19:01:39,10,9,6,7,9,6,8,9,6,6,8,9,6,3,9,9,1,8,1,8,7,9,7,7,7,7,10,10,10,8,9,8,9,7,6,9,8,7,7,7,9,9,9,10,10,5,7,7,9,9,9,9,6,6,6,6,2,当然やる,
1/22/2017 1:39:26,6,10,10,8,10,8,6,10,10,10,8,10,10,7,10,5,10,10,4,4,6,7,4,1,3,6,10,10,7,7,10,10,5,3,5,4,7,10,8,10,10,10,10,10,10,1,8,7,10,6,7,10,5,2,4,1,2,当然やる,
1/22/2017 15:15:03,9,8,10,10,9,6,7,8,10,4,10,7,4,9,1,1,6,4,1,1,1,4,5,3,7,5,10,7,10,5,4,6,1,1,4,4,10,3,7,8,10,4,8,9,4,1,4,3,5,4,8,9,10,1,5,4,2,当然やる,
1/22/2017 16:48:13,10,10,10,6,10,10,10,10,1,4,7,7,1,1,9,5,6,7,10,8,10,10,8,8,8,8,9,9,8,4,10,10,3,1,9,9,3,3,10,1,10,10,10,10,1,1,9,5,1,1,6,8,7,7,8,8,2,当然やる,
1/23/2017 15:03:43,9,8,9,10,9,7,7,7,4,3,7,6,2,5,6,6,7,8,5,5,5,7,2,2,9,5,8,8,9,3,3,5,5,5,6,8,8,10,8,9,4,8,10,10,3,3,8,6,9,7,7,8,9,6,5,7,2,当然やる,
1/23/2017 23:23:29,8,10,8,8,7,7,9,7,4,5,6,7,4,8,7,5,8,8,9,9,8,7,8,7,9,8,9,9,9,9,8,8,7,6,7,5,9,9,9,9,9,9,10,10,10,3,6,4,5,5,7,7,1,10,7,7,2,当然やる,
1/24/2017 22:46:43,9,10,5,7,5,2,4,6,7,5,6,6,3,1,7,5,7,7,9,6,7,7,4,3,4,9,8,8,8,4,6,6,3,3,4,7,5,5,4,8,10,7,10,10,10,1,6,4,8,5,8,10,9,4,10,3,1,当然やる,
1/24/2017 23:38:00,10,9,10,9,10,8,8,8,9,7,9,8,7,6,10,6,7,7,8,8,7,7,7,6,7,7,10,10,8,8,9,8,8,7,9,8,9,9,9,9,9,9,9,9,10,1,8,8,9,8,8,8,4,9,10,7,2,当然やる,
1/25/2017 6:37:47,10,10,1,4,10,8,1,6,3,10,3,3,9,8,7,2,9,9,8,7,7,6,2,3,5,5,9,8,7,10,10,10,6,4,3,4,8,8,4,7,4,7,4,7,10,4,8,7,9,7,5,5,3,8,9,3,2,当然やる,
1/25/2017 11:09:03,9,10,5,7,5,2,4,6,7,5,6,6,3,1,7,5,7,7,9,6,7,7,4,3,4,9,8,8,8,4,6,6,3,3,4,7,5,5,4,8,10,7,10,10,10,1,6,4,8,5,8,10,9,4,10,3,1,当然やる,
1/25/2017 22:06:38,10,10,5,5,5,5,5,8,10,10,1,7,10,4,10,10,5,10,10,8,5,7,5,3,6,8,10,10,1,10,6,4,5,4,4,7,4,7,10,10,10,10,10,10,10,1,6,6,3,7,10,7,1,5,3,5,2,当然やる,
1/25/2017 22:07:03,10,9,10,10,7,7,6,9,4,5,6,8,1,5,1,2,10,8,8,6,4,7,3,5,6,8,10,9,1,3,4,6,1,2,7,7,3,4,8,10,8,8,10,10,5,3,2,6,8,9,7,10,10,6,1,4,2,当然やる,
1/25/2017 22:09:27,2,8,5,7,7,6,7,7,8,1,1,10,7,7,10,5,10,10,10,10,1,10,1,1,1,10,7,5,8,8,9,9,6,2,1,1,6,6,8,6,1,10,1,10,10,10,10,10,1,10,1,10,1,7,5,4,2,当然やる,
1/25/2017 22:16:15,8,9,10,10,9,9,3,7,1,10,10,10,9,9,10,9,10,8,8,8,3,4,1,3,3,2,10,9,9,9,7,8,7,7,8,8,9,9,9,9,9,10,8,10,10,10,7,9,6,6,5,5,5,5,5,9,2,当然やる,タチャンカは最強です
1/25/2017 22:16:52,7,9,6,8,6,5,6,9,5,7,4,7,6,6,8,8,6,6,4,6,4,5,4,5,4,5,6,8,7,7,6,7,6,7,4,8,6,6,6,6,5,7,5,5,8,3,4,4,4,5,10,10,7,8,5,5,2,当然やる,
1/25/2017 22:19:08,10,8,7,8,10,6,7,7,10,10,10,6,10,10,10,5,8,6,10,10,10,10,3,7,5,5,10,10,10,10,10,10,7,5,5,5,10,8,10,10,10,7,10,10,10,7,7,5,10,8,10,10,10,7,5,5,2,当然やる,
1/25/2017 22:22:29,8,8,6,8,6,6,9,9,8,9,7,8,5,5,5,4,10,10,2,7,8,10,3,4,8,9,10,10,1,6,9,10,5,6,9,8,5,5,8,8,9,9,8,9,10,3,10,7,10,10,7,9,5,10,7,10,2,当然やる,
1/25/2017 22:43:07,6,8,10,8,8,8,8,8,6,4,5,7,8,5,8,4,9,8,8,5,8,4,6,5,7,5,7,8,7,8,7,8,6,7,6,5,7,6,7,8,8,7,10,8,8,1,9,5,7,7,8,7,8,8,5,5,2,当然やる,
1/25/2017 23:02:08,8,8,2,4,1,1,6,6,1,3,5,7,3,3,3,2,8,8,6,5,9,9,7,6,5,5,4,3,7,7,6,7,5,5,1,5,8,6,8,6,6,6,9,8,10,10,9,7,10,10,8,9,6,6,4,3,2,たまにやる,
1/25/2017 23:20:38,6,8,9,8,5,6,8,7,5,5,4,6,5,5,7,4,10,8,5,6,5,5,8,8,5,5,7,7,10,8,6,7,5,5,5,4,7,6,8,7,5,6,8,7,9,9,10,9,5,4,5,5,5,4,7,5,2,当然やる,
1/25/2017 23:28:26,10,10,9,9,7,9,7,7,7,5,6,6,4,4,10,2,10,10,5,6,7,7,6,4,7,7,8,8,1,1,7,9,6,5,3,6,7,7,10,8,10,10,10,10,10,1,7,7,8,9,10,10,7,9,9,8,2,当然やる,
1/25/2017 23:44:23,6,9,7,9,5,9,5,6,7,7,7,8,7,7,10,10,7,10,10,8,9,10,5,2,5,9,9,10,5,7,9,8,6,5,4,2,9,9,8,8,8,9,5,9,9,5,5,5,7,7,9,10,9,10,5,1,2,当然やる,
1/26/2017 21:36:42,5,7,10,7,6,6,10,10,10,5,6,10,5,3,10,1,5,10,5,10,8,5,5,1,10,10,10,10,10,6,5,5,5,7,5,7,10,8,10,4,10,8,10,10,5,5,5,2,10,10,8,10,10,10,2,1,2,当然やる,
1/26/2017 23:19:03,10,10,8,8,8,5,3,7,1,8,1,10,4,8,6,1,1,10,5,5,9,7,1,3,10,10,10,10,7,7,10,8,5,4,1,8,5,3,5,3,8,8,10,10,6,1,7,6,8,8,10,10,1,7,1,3,2,当然やる,
1/27/2017 0:41:16,9,8,7,9,6,5,7,8,7,3,4,7,3,1,5,2,8,7,6,4,6,6,2,3,3,9,6,9,6,5,9,9,7,5,4,6,4,7,6,10,5,6,8,10,10,2,6,3,5,5,6,8,4,3,7,6,2,当然やる,
1/27/2017 4:28:57,10,10,3,9,3,8,10,9,9,4,2,9,3,7,3,1,6,7,7,4,8,7,6,2,6,6,10,10,4,10,2,2,1,3,5,9,6,4,1,9,10,10,10,8,9,2,2,3,10,6,10,10,8,3,1,6,1,当然やる,おっぱい
1/27/2017 21:41:37,8,10,6,6,9,3,5,4,4,7,9,9,2,4,3,2,7,9,4,6,2,10,2,5,10,8,9,9,10,7,5,6,6,3,2,6,7,3,10,10,7,8,10,10,10,1,9,2,7,5,3,9,3,5,2,4,2,当然やる,
1/28/2017 6:03:58,10,9,7,8,8,9,5,5,6,6,7,7,3,2,5,4,5,6,7,7,8,8,7,6,7,7,8,10,8,8,7,7,5,4,3,5,5,6,10,10,9,9,9,9,2,1,3,3,7,7,7,8,8,5,4,4,2,当然やる,
1/28/2017 16:39:27,7,9,5,6,3,6,10,9,3,7,4,6,4,6,8,7,2,8,7,5,9,9,3,6,2,7,6,8,2,7,9,8,1,7,4,7,7,6,6,7,3,7,8,7,3,1,6,7,2,4,6,7,7,4,8,10,2,当然やる,
1/28/2017 21:45:28,10,10,9,9,10,8,7,9,10,7,7,10,9,8,5,4,7,8,8,6,10,10,9,7,4,9,10,10,9,10,9,8,3,5,5,5,9,8,10,10,10,10,10,9,10,2,9,5,10,8,7,10,9,9,8,3,1,当然やる,
1/29/2017 1:50:48,7,9,7,7,10,6,6,10,6,8,5,10,5,5,10,8,7,9,7,5,7,10,5,10,5,10,10,9,10,10,6,10,5,6,5,5,5,5,7,5,10,10,10,10,10,5,5,5,7,10,10,10,10,7,5,5,2,当然やる,
1/29/2017 15:38:22,10,10,3,5,5,2,8,9,7,1,2,9,6,1,10,7,6,9,3,6,7,9,1,1,10,10,10,10,2,6,10,10,2,6,6,8,10,10,10,10,10,10,10,10,10,1,1,3,8,7,10,5,10,2,2,10,2,当然やる,
1/29/2017 21:50:40,8,9,6,6,10,10,6,8,10,10,4,5,10,10,5,3,3,10,10,10,10,10,5,1,10,10,8,8,9,10,8,6,3,3,3,5,3,3,7,7,6,6,10,10,1,1,4,3,10,10,10,10,10,10,7,6,2,当然やる,
1/29/2017 23:02:38,7,6,8,10,8,9,6,7,10,10,10,10,2,1,7,1,3,7,1,1,1,1,1,1,2,5,10,10,9,6,7,5,4,2,1,5,7,5,8,6,8,5,8,7,10,1,4,7,3,8,3,7,3,3,1,1,2,当然やる,
1/30/2017 21:54:46,5,5,2,5,4,4,6,6,5,5,8,8,2,2,2,1,6,7,2,2,7,8,4,4,6,6,10,10,5,5,5,7,10,1,5,5,8,8,8,8,10,10,6,10,3,3,3,5,3,5,3,6,8,5,5,5,2,当然やる,
1/31/2017 22:31:48,7,8,5,7,8,5,5,6,9,4,5,8,9,4,4,3,8,7,7,7,8,7,7,8,8,8,8,8,8,7,9,8,8,6,9,7,8,6,8,7,8,7,8,6,8,6,6,6,6,6,9,7,7,7,5,5,2,当然やる,
1/31/2017 22:36:24,10,10,7,7,8,7,7,9,3,5,3,8,5,3,7,7,9,9,8,7,5,8,5,6,8,8,10,10,7,6,10,9,3,5,3,8,10,7,8,9,8,9,8,7,10,3,9,6,4,7,2,9,1,10,8,7,2,当然やる,新オペ追加された後もまたお願いします！
2/1/2017 3:19:16,4,7,7,8,10,8,6,7,5,7,4,2,4,4,5,5,6,6,6,7,6,7,6,6,3,3,10,10,8,9,7,7,2,2,6,6,6,6,10,10,10,10,7,7,10,1,4,4,7,7,6,8,6,4,4,4,2,当然やる,
2/2/2017 21:44:43,10,10,8,7,5,6,6,8,2,2,10,10,4,3,7,7,4,7,7,6,8,10,4,4,7,8,10,10,4,6,5,7,5,5,3,5,8,8,7,9,8,8,10,10,10,4,6,6,5,5,8,10,7,7,5,8,2,当然やる,
2/4/2017 13:56:45,8,8,3,5,3,5,8,8,6,4,9,7,5,4,6,6,4,6,7,7,8,7,6,4,9,9,7,8,5,5,9,8,5,5,6,5,6,5,6,5,7,5,9,7,3,4,7,7,7,7,8,8,6,3,6,3,2,当然やる,
2/4/2017 21:50:56,10,10,6,8,6,8,7,7,10,3,9,10,9,6,5,3,6,9,5,6,7,7,7,9,5,7,7,7,4,8,9,7,4,6,7,10,7,9,8,9,10,10,10,10,10,5,3,8,9,7,7,10,10,3,8,6,2,当然やる,
2/4/2017 22:06:04,10,10,6,10,10,10,9,8,1,4,10,10,8,9,5,1,10,7,6,7,10,10,1,1,6,4,10,10,6,5,5,9,3,3,7,8,9,10,10,8,10,10,10,10,6,2,5,3,8,6,10,10,1,1,5,8,2,当然やる,
2/5/2017 1:25:50,10,10,7,6,8,4,7,5,10,7,1,3,1,1,10,10,10,10,10,10,6,7,1,5,10,8,10,6,10,10,10,10,7,5,1,5,10,6,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,6,7,1,当然やる,
2/5/2017 12:28:46,7,10,9,8,10,10,7,5,5,5,4,8,10,3,5,3,3,8,3,8,10,10,8,4,5,5,9,8,4,7,8,8,3,4,3,1,5,5,8,7,10,9,10,10,10,1,3,7,10,4,7,7,2,7,5,1,2,当然やる,
2/5/2017 21:37:18,10,8,10,8,9,5,7,6,7,7,1,7,7,5,10,4,9,10,8,4,4,9,2,2,2,6,8,8,10,6,10,10,5,5,4,8,9,9,10,10,7,8,6,10,10,1,10,4,7,3,8,9,10,3,10,6,2,当然やる,チームメイトを信じている。
2/6/2017 14:16:59,10,10,7,8,4,8,5,6,9,6,10,7,2,1,8,4,8,7,9,5,6,5,5,7,4,8,9,10,9,5,6,5,4,6,6,8,5,4,8,8,10,9,9,10,10,1,5,2,4,3,7,10,3,6,10,7,1,当然やる,
2/6/2017 14:54:57,8,9,6,8,6,6,8,8,4,9,8,8,3,4,10,8,4,4,4,6,10,10,7,3,8,9,10,9,7,6,9,7,6,5,7,8,9,9,10,8,10,8,10,10,10,3,6,5,8,8,10,9,10,8,10,9,2,当然やる,
2/6/2017 15:08:26,10,10,8,8,5,5,8,9,5,2,7,5,2,2,5,6,8,8,4,4,7,8,9,10,9,9,10,10,7,7,8,8,7,5,7,8,7,8,8,8,8,8,10,10,4,1,6,5,5,3,10,10,5,3,10,10,2,当然やる,
2/6/2017 15:14:53,9,9,10,10,8,8,6,9,1,7,10,10,1,6,10,1,1,8,5,5,7,5,9,5,8,8,6,7,7,6,5,5,5,3,1,9,6,6,9,9,8,6,10,10,10,10,7,7,10,10,9,8,8,7,8,9,2,当然やる,
2/6/2017 15:45:36,10,10,10,10,10,10,10,10,4,6,10,10,4,5,7,1,7,10,10,6,10,10,6,6,5,6,10,10,5,8,10,10,5,5,10,10,10,10,10,10,10,10,10,10,5,5,8,10,5,5,10,10,10,10,7,7,2,当然やる,
2/6/2017 17:04:07,10,10,10,10,10,10,10,10,3,8,8,8,3,5,10,5,3,7,5,3,10,10,10,7,10,8,10,10,5,5,10,10,7,7,10,7,10,8,10,10,10,10,10,10,10,1,5,3,7,7,10,7,1,5,10,8,1,当然やる,
2/7/2017 2:14:10,8,9,6,5,4,3,7,5,7,7,8,7,3,2,5,5,8,6,7,7,8,8,6,5,8,6,10,10,9,7,10,8,8,6,4,6,7,6,6,6,8,8,10,9,2,2,7,7,7,6,7,5,7,6,4,4,2,当然やる,
2/7/2017 9:34:59,10,10,8,8,6,7,9,9,8,10,9,10,6,4,4,4,7,9,3,6,8,9,7,6,8,8,9,9,8,9,7,9,10,9,8,8,10,9,10,10,8,9,10,10,10,2,8,8,8,9,10,10,10,9,9,8,2,当然やる,
2/7/2017 14:12:11,10,8,7,6,5,4,4,4,2,2,8,8,4,6,5,4,8,8,8,8,8,8,5,1,7,4,10,9,10,8,8,6,6,4,9,8,8,9,9,9,10,10,10,10,7,5,8,8,9,10,10,9,8,7,7,6,2,当然やる,
2/7/2017 22:25:42,8,8,6,7,1,1,8,8,1,6,7,8,6,1,10,10,5,8,5,6,8,9,6,6,3,5,10,10,7,3,7,8,1,1,1,3,6,4,8,6,10,10,10,10,10,1,1,1,5,1,6,5,5,3,7,8,2,当然やる,女性オペでIQが一番可愛い
2/7/2017 22:25:59,10,10,6,8,2,7,8,10,2,4,10,10,1,3,6,4,3,6,7,7,9,9,7,6,6,8,10,10,3,8,8,8,1,2,3,5,6,7,6,6,10,9,10,10,2,1,2,2,5,6,9,10,2,3,7,7,2,当然やる,
2/7/2017 22:26:48,3,8,4,8,5,5,7,8,9,9,7,9,6,8,8,5,8,10,6,8,9,6,6,3,1,6,2,8,8,6,7,6,10,5,1,8,10,8,7,7,4,8,7,8,10,2,8,3,7,7,2,6,10,6,7,4,2,当然やる,タチャンカに愛を。
2/7/2017 22:27:46,10,10,10,10,7,10,10,10,6,10,10,10,1,1,10,10,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,6,10,4,10,2,3,10,10,10,10,10,10,1,1,10,6,10,10,10,10,10,10,10,10,2,当然やる,
2/7/2017 22:30:13,8,9,2,7,7,6,8,8,3,5,5,7,1,2,1,1,9,7,4,6,3,8,10,10,8,9,7,9,7,6,5,6,5,4,3,8,7,8,10,10,10,10,1,10,4,1,6,4,3,9,10,10,3,7,3,4,2,当然やる,
2/7/2017 22:34:15,8,10,8,5,8,5,8,7,1,6,10,10,4,6,8,7,3,6,2,3,5,5,7,6,5,5,3,7,3,7,8,8,5,3,1,6,9,8,9,8,9,8,9,7,9,2,3,5,3,7,3,5,1,8,7,7,2,もうやらないかも,
2/7/2017 22:36:10,10,10,10,8,6,8,8,8,10,4,9,10,7,5,8,6,8,6,8,7,5,8,9,4,5,8,9,8,6,3,6,8,6,3,4,7,9,9,10,9,9,9,9,10,10,5,6,6,4,5,8,9,3,7,4,4,2,当然やる,
2/7/2017 22:39:54,10,10,10,9,4,3,6,6,1,2,4,4,1,3,8,5,8,10,10,9,10,10,6,2,1,1,3,8,5,5,9,9,3,1,1,1,9,9,9,9,10,10,8,9,5,1,7,5,8,5,10,10,9,9,3,2,2,当然やる,
2/7/2017 22:54:11,6,8,9,8,6,7,4,3,6,7,6,6,1,1,3,4,5,7,3,6,10,10,4,4,6,5,8,6,6,7,6,7,6,4,4,8,7,6,7,6,10,10,10,10,3,4,7,8,9,9,9,9,8,10,2,3,2,当然やる,
2/7/2017 23:04:07,10,10,10,10,10,10,10,10,5,5,5,5,1,1,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,5,5,10,10,10,10,10,10,1,当然やる,ブラビは現役で使えます
2/7/2017 23:08:04,7,7,8,8,8,8,8,8,8,5,6,6,9,7,7,6,7,7,7,9,8,10,6,6,6,6,9,9,10,10,8,7,6,6,8,7,8,8,9,8,10,10,7,8,1,3,7,7,9,9,8,8,7,8,4,4,2,当然やる,
